variant,agent,final_cumreward,pre_rate,post_rate,end_rate,pre_pct_optimal,post_pct_optimal,end_pct_optimal,steps_to_recover
action_permute,residual,76.83761596679688,0.5587709617614747,0.5325098800659179,0.49446151733398436,73.92524639401181,68.3808479720156,65.88483268714208,nan
action_permute,optimal (adapts),114.31388854980469,0.7558594512939452,0.7787412643432616,0.7504936981201171,100.0,100.0,100.00000000000001,1.0
action_permute,optimal (frozen),89.26754760742188,0.7558594512939452,0.5043107223510743,0.47530654907226555,100.0,64.7597277096105,63.33251701684407,nan
action_permute,eps-greedy Q,79.00977325439453,0.5816563796997071,0.5102505874633789,0.49703849792480465,76.95298096808577,65.52247977942844,66.22820407017637,nan
action_permute,greedy Q,79.04670715332031,0.5782986831665039,0.516729907989502,0.5265452575683593,76.50875862920316,66.35450458956706,70.15985062729806,1.0
action_permute,random,79.46869659423828,0.5324469375610351,0.5466827774047852,0.5358293914794923,70.44258514589539,70.2008231021148,71.39692082980453,0.0
reward_resample,residual,75.70881652832031,0.5587709617614747,0.4750448417663574,0.5121659851074218,73.92524639401181,64.5935121284503,71.14718449779382,nan
reward_resample,optimal (adapts),111.52816009521484,0.7558594512939452,0.7354373931884767,0.7198682403564451,100.0,100.0,100.0,1.0
reward_resample,optimal (frozen),87.02630615234375,0.7558594512939452,0.4948060989379882,0.5089656066894531,100.0,67.2805195276738,70.70260613767834,nan
reward_resample,eps-greedy Q,78.27983093261719,0.5816563796997071,0.4869024467468261,0.4903182220458985,76.95298096808577,66.2058322375843,68.11221756402475,nan
reward_resample,greedy Q,76.10316467285156,0.5782986831665039,0.4963579940795898,0.4349971389770507,76.50875862920316,67.49153614934343,60.427327473380466,0.0
reward_resample,random,75.58476257324219,0.5324469375610351,0.48640382766723633,0.5256032180786133,70.44258514589539,66.13803325371322,73.0138084461622,69.0
transition_resample,residual,79.71894836425781,0.5587709617614747,0.561291904449463,0.5196221923828126,73.92524639401181,73.15393332768544,69.81248251687684,0.0
transition_resample,optimal (adapts),114.14778137207031,0.7558594512939452,0.7672750854492187,0.7443112945556639,100.0,100.0,100.0,1.0
transition_resample,optimal (frozen),113.92588806152344,0.7558594512939452,0.7656247711181641,0.7481934356689453,100.0,99.7849123003794,100.52157492996245,1.0
transition_resample,eps-greedy Q,87.43098449707031,0.5816563796997071,0.5919920539855957,0.5948583984375,76.95298096808577,77.15512535364033,79.9206464806659,0.0
transition_resample,greedy Q,84.30216979980469,0.5782986831665039,0.5338817787170409,0.5266437530517578,76.50875862920316,69.58153455542839,70.75584596175604,0.0
transition_resample,random,78.05877685546875,0.5324469375610351,0.49958427429199215,0.5301873779296875,70.44258514589539,65.1114943996258,71.23194042704897,0.0
full_resample,residual,74.29186248779297,0.5587709617614747,0.47702564239501954,0.4414014053344727,73.92524639401181,64.56948165977967,58.21812211892301,nan
full_resample,optimal (adapts),112.19361877441406,0.7558594512939452,0.7387788009643553,0.7581855773925782,100.0,100.0,99.99999999999999,39.0
full_resample,optimal (frozen),83.37374114990234,0.7558594512939452,0.4802369308471679,0.4694512939453125,100.0,65.00415688976143,61.917729371715154,nan
full_resample,eps-greedy Q,79.40156555175781,0.5816563796997071,0.5069851684570313,0.49524978637695305,76.95298096808577,68.62475856037624,65.32039135855514,nan
full_resample,greedy Q,78.45703887939453,0.5782986831665039,0.5080062675476075,0.49189308166503903,76.50875862920316,68.76297301499287,64.8776627163858,0.0
full_resample,random,76.76576232910156,0.5324469375610351,0.49327964782714834,0.5347332000732422,70.44258514589539,66.76959966680855,70.52801003050004,28.0
contrast_permute,residual,43.409942626953125,0.36349973320961004,0.2494995284080505,0.26849960327148437,36.349973320961006,24.94995284080505,26.849960327148438,nan
contrast_permute,optimal (adapts),150.0,1.0,1.0,1.0,100.0,100.0,100.0,0.0
contrast_permute,optimal (frozen),71.15000915527344,1.0,0.22099937438964842,0.1830007171630859,100.0,22.099937438964844,18.30007171630859,nan
contrast_permute,eps-greedy Q,52.14995574951172,0.3444998741149902,0.3159996700286865,0.3824997711181641,34.44998741149902,31.599967002868652,38.249977111816406,21.0
contrast_permute,greedy Q,47.58995819091797,0.29699987530708316,0.26849973201751703,0.38249982833862306,29.699987530708317,26.849973201751702,38.249982833862305,14.0
contrast_permute,random,42.8399543762207,0.2590000581741333,0.30649992942810056,0.2684994125366211,25.90000581741333,30.649992942810055,26.849941253662106,0.0
